coach,seasons,is_active,games,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,ties_playoff,games_superbowl,wins_superbowl,ats_pct,ats_return,ats_risked,avg_pf,avg_pa,avg_margin,avg_spread,ats_pct_home,ats_pct_away,ats_pct_playoff,ats_pct_favorite,ats_pct_underdog,ats_pct_div,ats_pct_non_div,ats_pct_bye,ats_pct_dome,ats_roi,win_pct,win_pct_playoff,teams,pfr_coach_image_url,pfr_coach_tree_hired_by,pfr_coach_tree_hired
Don Shula,33,0,526.0,347.0,173.0,6,19.0,36.0,19.0,17.0,0.0,6.0,2.0,,,,,,,,,,,,,,,,,,0.6596958174904943,0.5277777777777778,,https://www.profootballhof.com/pfhof/media/Default/Items/Shula_Don_150.jpg?ext=.jpg,WilsGe0,"ArnsBi0,ClarMo0,HennDa0,McCaDo0,McPeBi0,NollCh0,SandJo0,SchnHo0,ShulDa0,StudCh0,WinnCh0"
Bill Belichick,29,0,511.0,333.0,178.0,0,19.0,44.0,31.0,13.0,0.0,9.0,6.0,0.5645933014354066,35.79999999999998,471.90000000000003,26.18648,19.128204,7.058275,-4.299534,0.5534883720930233,0.5763546798029556,0.5121951219512195,0.5573248407643312,0.5841584158415841,0.5684931506849316,0.5625,0.5227272727272727,0.5333333333333333,0.07586353040898491,0.6516634050880626,0.7045454545454546,"['{""team"" : ""NE"", ""color"" : ""#002244""}']",https://www.si.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MjAzNDE4NjY5NzY0NTg0OTQx/df126a34-0b6a-4651-8aad-17b4b78a43fc.jpg,"ForzRi0,HudsTo0,MarcTe0,MillRe0,ParcBi0,PerkRa0","BateJi0,CrenRo0,DaboBr0,DowhRo0,FlorBr0,GrohAl0,HuntHa0,JudgJo0,MangEr0,MayoJe0,McDaJo0,OBriBi0,PatrMa0,SabaNi0,SchwJi0,VentRi0"
George Halas,40,0,506.0,324.0,151.0,31,8.0,9.0,6.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.6403162055335968,0.6666666666666666,,https://www.profootballwriters.org/wp-content/uploads/2013/07/GeorgeHalasHeadshot.jpg,,"AlleGe0,AndeHu0,DoolJi0,DrisPa0,GibrAb0,HandPh0,JohnLu0,RonzGe0,ShauCl0,StydJo0,TurnCl0,WilsGe0"
Andy Reid,27,1,471.0,304.0,166.0,1,20.0,45.0,28.0,17.0,0.0,7.0,4.0,0.5401301518438177,15.799999999999981,518.1,24.751593,20.053078,4.698514,-3.0169852,0.49361702127659574,0.588495575221239,0.5777777777777777,0.5122699386503068,0.6119402985074627,0.558282208588957,0.5302013422818792,0.5952380952380952,0.5454545454545454,0.0304960432348967,0.6454352441613588,0.6222222222222222,"['{""team"" : ""PHI"", ""color"" : ""#004C54""}', '{""team"" : ""KC"", ""color"" : ""#E31837""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/ReidAn0c_2019.jpg,HolmMi0,"BowlTo0,ChilBr0,CullDa0,DowhRo0,FrazLe0,HarbJo0,JaurDi0,McDeSe0,MornMa0,NagyMa0,PedeDo0,RiveRo0,ShurPa0,SpagSt0,ThomEm0"
Tom Landry,29,0,454.0,270.0,178.0,6,18.0,36.0,20.0,16.0,0.0,5.0,2.0,,,,,,,,,,,,,,,,,,0.5947136563876652,0.5555555555555556,,,HoweJi0,"ArmsNe0,BerrRa0,DitkMi0,GillSi0,HickHo0,HughEd0,MackJo0,MeyeRo0,NolaDi0,ReevDa0,ShofJi0,StalGe0"
Curly Lambeau,33,0,385.0,229.0,134.0,22,5.0,5.0,3.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5948051948051948,0.6,,,,"BallHe0,HandPh0,IsbeCe0,KiesWa0,MillWa0,RamsGa0,SnydBo0"
Paul Brown,25,0,343.0,222.0,112.0,9,15.0,17.0,9.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.6472303206997084,0.5294117647058824,,https://www.pro-football-reference.com/req/20230307/images/headshots/BrowPa0c_2017.jpg,,"CollBl0,EwbaWe0,JohnBi0,StudCh0,WalsBi0"
Chuck Noll,23,0,366.0,209.0,156.0,1,12.0,24.0,16.0,8.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,0.5710382513661202,0.6666666666666666,,,ShulDo0,"CarsBu0,DungTo0,FoxxJo0,HuntHa0,RustRo0,WaltJo0"
Marty Schottenheimer,21,0,345.0,205.0,139.0,1,13.0,18.0,5.0,13.0,0.0,0.0,0.0,0.5578947368421052,6.799999999999996,107.80000000000001,23.428572,21.255102,2.1734693,-0.20918368,0.5102040816326531,0.6086956521739131,0.0,0.5121951219512195,0.5849056603773585,0.5714285714285714,0.55,0.5,1.0,0.06307977736549161,0.5942028985507246,0.2777777777777778,"['{""team"" : ""LAC"", ""color"" : ""#007BC7""}', '{""team"" : ""LAC"", ""color"" : ""#007BC7""}', '{""team"" : ""WAS"", ""color"" : ""#5A1414""}']",,"ArnsBi0,ClarMo0,McVaJo0,RutiSa0","AriaBr0,BettTo0,CameCa0,ChudRo0,CowhBi0,CunnGu0,DungTo0,EdwaHe0,InfaLi0,JackHu0,McCaMi0,PhilWa0,SaunAl0,SchoBr0,ShelAr0,SparTo0,TresMa0"
Dan Reeves,23,0,377.0,201.0,174.0,2,9.0,20.0,11.0,9.0,0.0,4.0,0.0,0.42857142857142855,-15.400000000000004,86.9,19.037975,23.455696,-4.4177217,2.5189874,0.358974358974359,0.5,0.5,0.48148148148148145,0.40816326530612246,0.47058823529411764,0.3953488372093023,0.16666666666666666,0.40384615384615385,-0.17721518987341775,0.53315649867374,0.55,"['{""team"" : ""ATL"", ""color"" : ""#A71930""}']",,LandTo0,"AlleDe0,BerrRa0,BrooRi0,CollJo0,DowhRo0,GailCh0,NolaMi0,PhilWa0,ShanMi0,ShelAr0,ThomEm0"
Mike Tomlin,19,1,316.0,195.0,119.0,2,12.0,19.0,8.0,11.0,0.0,3.0,2.0,0.5307443365695793,4.499999999999988,347.6,22.905064,19.936708,2.9683545,-2.318038,0.5584415584415584,0.5032258064516129,0.4117647058823529,0.4803921568627451,0.6285714285714286,0.5855855855855856,0.5,0.5416666666666666,0.5925925925925926,0.012945914844648986,0.6170886075949367,0.42105263157894735,"['{""team"" : ""PIT"", ""color"" : ""#000000""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/TomlMi0c_2020.jpg,"ChilBr0,DungTo0,GrudJo0","AriaBr0,FlorBr0,HaleTo0,LeBeDi0,MuncMi0,SmitAr0"
