,pfr_coach_id,pfr_coach_name,pfr_coach_image_url,pfr_coach_tree_hired_by,pfr_coach_tree_hired,pfr_coach_last_checked
0,ShulDo0,Don Shula,https://www.profootballhof.com/pfhof/media/Default/Items/Shula_Don_150.jpg?ext=.jpg,WilsGe0,"ArnsBi0,ClarMo0,HennDa0,McCaDo0,McPeBi0,NollCh0,SandJo0,SchnHo0,ShulDa0,StudCh0,WinnCh0",2025-09-09
1,HalaGe0,George Halas,https://www.profootballwriters.org/wp-content/uploads/2013/07/GeorgeHalasHeadshot.jpg,,"AlleGe0,AndeHu0,DoolJi0,DrisPa0,GibrAb0,HandPh0,JohnLu0,RonzGe0,ShauCl0,StydJo0,TurnCl0,WilsGe0",2025-09-09
2,BeliBi0,Bill Belichick,https://www.si.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MjAzNDE4NjY5NzY0NTg0OTQx/df126a34-0b6a-4651-8aad-17b4b78a43fc.jpg,"ForzRi0,HudsTo0,MarcTe0,MillRe0,ParcBi0,PerkRa0","BateJi0,CrenRo0,DaboBr0,DowhRo0,FlorBr0,GrohAl0,HuntHa0,JudgJo0,MangEr0,MayoJe0,McDaJo0,OBriBi0,PatrMa0,SabaNi0,SchwJi0,VentRi0",2025-09-09
3,LandTo0,Tom Landry,,HoweJi0,"ArmsNe0,BerrRa0,DitkMi0,GillSi0,HickHo0,HughEd0,MackJo0,MeyeRo0,NolaDi0,ReevDa0,ShofJi0,StalGe0",2025-09-09
4,ReidAn0,Andy Reid,https://www.pro-football-reference.com/req/20230307/images/headshots/ReidAn0c_2019.jpg,HolmMi0,"BowlTo0,ChilBr0,CullDa0,DowhRo0,FrazLe0,HarbJo0,JaurDi0,McDeSe0,MornMa0,NagyMa0,PedeDo0,RiveRo0,ShurPa0,SpagSt0,ThomEm0",2025-09-09
5,LambCu0,Curly Lambeau,,,"BallHe0,HandPh0,IsbeCe0,KiesWa0,MillWa0,RamsGa0,SnydBo0",2025-09-09
6,BrowPa0,Paul Brown,https://www.pro-football-reference.com/req/20230307/images/headshots/BrowPa0c_2017.jpg,,"CollBl0,EwbaWe0,JohnBi0,StudCh0,WalsBi0",2025-09-09
7,SchoMa0,Marty Schottenheimer,,"ArnsBi0,ClarMo0,McVaJo0,RutiSa0","AriaBr0,BettTo0,CameCa0,ChudRo0,CowhBi0,CunnGu0,DungTo0,EdwaHe0,InfaLi0,JackHu0,McCaMi0,PhilWa0,SaunAl0,SchoBr0,ShelAr0,SparTo0,TresMa0",2025-09-09
8,NollCh0,Chuck Noll,,ShulDo0,"CarsBu0,DungTo0,FoxxJo0,HuntHa0,RustRo0,WaltJo0",2025-09-09
9,ReevDa0,Dan Reeves,,LandTo0,"AlleDe0,BerrRa0,BrooRi0,CollJo0,DowhRo0,GailCh0,NolaMi0,PhilWa0,ShanMi0,ShelAr0,ThomEm0",2025-09-09
