,coach,games,seasons,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,games_superbowl,wins_superbowl
0,Don Shula,526.0,33,347.0,173.0,6,19.0,36.0,19.0,17.0,6.0,2.0
1,George Halas,506.0,40,324.0,151.0,31,8.0,9.0,6.0,3.0,0.0,0.0
2,Bill Belichick,82.0,5,37.0,45.0,0,1.0,2.0,1.0,1.0,0.0,0.0
3,Tom Landry,454.0,29,270.0,178.0,6,18.0,36.0,20.0,16.0,5.0,2.0
4,Curly Lambeau,385.0,33,229.0,134.0,22,5.0,5.0,3.0,2.0,0.0,0.0
5,Paul Brown,343.0,25,222.0,112.0,9,15.0,17.0,9.0,8.0,0.0,0.0
6,Marty Schottenheimer,247.0,15,150.0,96.0,1,11.0,16.0,5.0,11.0,0.0,0.0
7,Chuck Noll,366.0,23,209.0,156.0,1,12.0,24.0,16.0,8.0,4.0,4.0
8,Dan Reeves,298.0,18,172.0,125.0,1,8.0,18.0,10.0,8.0,4.0,0.0
9,Chuck Knox,352.0,22,193.0,158.0,1,11.0,18.0,7.0,11.0,0.0,0.0
10,Jeff Fisher,67.0,5,32.0,35.0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,Bill Parcells,240.0,14,141.0,98.0,1,8.0,17.0,11.0,6.0,3.0,2.0
12,Tom Coughlin,70.0,4,38.0,32.0,0,3.0,6.0,3.0,3.0,0.0,0.0
13,Mike Shanahan,92.0,6,62.0,30.0,0,3.0,8.0,7.0,1.0,2.0,2.0
14,Pete Carroll,51.0,3,26.0,25.0,0,2.0,3.0,1.0,2.0,0.0,0.0
15,Mike Holmgren,126.0,7,84.0,42.0,0,6.0,14.0,9.0,5.0,2.0,1.0
16,Bud Grant,281.0,18,168.0,108.0,5,12.0,22.0,10.0,12.0,4.0,0.0
17,Joe Gibbs,205.0,12,140.0,65.0,0,8.0,21.0,16.0,5.0,4.0,3.0
18,Steve Owen,280.0,24,155.0,108.0,17,10.0,10.0,2.0,8.0,0.0,0.0
19,Bill Cowher,123.0,7,76.0,47.0,0,6.0,11.0,5.0,6.0,1.0,0.0
20,Marv Levy,274.0,17,154.0,120.0,0,8.0,19.0,11.0,8.0,4.0,0.0
21,Tony Dungy,50.0,3,25.0,25.0,0,1.0,2.0,1.0,1.0,0.0,0.0
22,Hank Stram,246.0,17,136.0,100.0,10,5.0,8.0,5.0,3.0,2.0,1.0
23,Weeb Ewbank,271.0,20,134.0,130.0,7,4.0,5.0,4.0,1.0,1.0,1.0
24,Jim Mora,121.0,8,64.0,57.0,0,3.0,2.0,-1.0,3.0,0.0,0.0
25,Sid Gillman,234.0,18,123.0,104.0,7,6.0,6.0,1.0,5.0,0.0,0.0
26,Mike Ditka,212.0,13,124.0,88.0,0,7.0,12.0,6.0,6.0,1.0,1.0
27,Dick Vermeil,140.0,9,66.0,74.0,0,4.0,7.0,3.0,4.0,1.0,0.0
28,Jon Gruden,17.0,1,8.0,9.0,0,1.0,1.0,0.0,1.0,0.0,0.0
29,George Allen,177.0,12,118.0,54.0,5,7.0,9.0,2.0,7.0,1.0,0.0
30,George Seifert,143.0,8,108.0,35.0,0,7.0,15.0,10.0,5.0,2.0,2.0
31,Norv Turner,90.0,5,38.0,51.0,1,0.0,0.0,0.0,0.0,0.0,0.0
32,Dennis Green,120.0,7,73.0,47.0,0,6.0,8.0,2.0,6.0,0.0,0.0
33,Don Coryell,204.0,14,114.0,89.0,1,6.0,9.0,3.0,6.0,0.0,0.0
34,Buddy Parker,192.0,15,107.0,76.0,9,3.0,4.0,3.0,1.0,0.0,0.0
35,John Madden,158.0,10,112.0,39.0,7,8.0,16.0,9.0,7.0,1.0,1.0
36,Ron Rivera,-4.0,0,0.0,-4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,Tom Flores,195.0,12,105.0,90.0,0,5.0,11.0,8.0,3.0,2.0,2.0
38,Vince Lombardi,146.0,10,105.0,35.0,6,6.0,10.0,9.0,1.0,2.0,2.0
39,Lou Saban,205.0,16,97.0,101.0,7,4.0,4.0,2.0,2.0,0.0,0.0
40,Bill Walsh,166.0,10,102.0,63.0,1,7.0,14.0,10.0,4.0,3.0,3.0
41,Buck Shaw,153.0,12,92.0,56.0,5,2.0,3.0,2.0,1.0,0.0,0.0
42,Jimmy Conzelman,169.0,15,88.0,64.0,17,2.0,2.0,1.0,1.0,0.0,0.0
43,Ted Marchibroda,192.0,12,89.0,102.0,1,4.0,6.0,2.0,4.0,0.0,0.0
44,Jack Pardee,170.0,11,88.0,82.0,0,5.0,6.0,1.0,5.0,0.0,0.0
45,Sam Wyche,196.0,12,87.0,109.0,0,2.0,5.0,3.0,2.0,1.0,0.0
46,Bum Phillips,166.0,11,86.0,80.0,0,3.0,7.0,4.0,3.0,0.0,0.0
47,Wade Phillips,54.0,4,27.0,27.0,0,2.0,2.0,0.0,2.0,0.0,0.0
48,Dave Wannstedt,98.0,6,41.0,57.0,0,1.0,2.0,1.0,1.0,0.0,0.0
49,Ray Flaherty,128.0,11,82.0,41.0,5,6.0,6.0,2.0,4.0,0.0,0.0
50,Jimmy Johnson,139.0,8,79.0,60.0,0,5.0,11.0,8.0,3.0,2.0,2.0
51,Blanton Collier,119.0,8,79.0,38.0,2,5.0,7.0,3.0,4.0,0.0,0.0
52,Forrest Gregg,165.0,11,77.0,87.0,1,2.0,4.0,2.0,2.0,1.0,0.0
53,John Robinson,153.0,9,79.0,74.0,0,6.0,10.0,4.0,6.0,0.0,0.0
54,Bobby Ross,121.0,7,64.0,57.0,0,4.0,7.0,3.0,4.0,1.0,0.0
55,Steve Mariucci,36.0,2,27.0,9.0,0,2.0,4.0,2.0,2.0,0.0,0.0
56,Dick Nolan,161.0,11,71.0,85.0,5,3.0,5.0,2.0,3.0,0.0,0.0
57,George Wilson,162.0,12,70.0,84.0,8,1.0,2.0,2.0,0.0,0.0,0.0
58,Wayne Fontes,138.0,9,67.0,71.0,0,4.0,5.0,1.0,4.0,0.0,0.0
59,Norm Van Brocklin,173.0,13,66.0,100.0,7,0.0,0.0,0.0,0.0,0.0,0.0
